district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm
Adilabad,19,2025-04-06,0.0,41.7,72.6,2025-04
Adilabad,19,2025-08-06,0.0,38.0,70.0,2025-08
Adilabad,19,2025-12-06,0.0,70.7,94.3,2025-12
Adilabad,19,2025-02-06,0.0,46.9,74.5,2025-02
Adilabad,19,2025-01-06,0.0,53.6,78.9,2025-01
Adilabad,19,2025-07-06,0.0,40.9,68.6,2025-07
Adilabad,19,2025-06-06,1.3,46.9,84.8,2025-06
Adilabad,19,2025-03-06,0.0,49.2,71.9,2025-03
Adilabad,19,2025-05-06,0.8,41.7,80.6,2025-05
Adilabad,19,2025-11-06,9.3,68.2,93.4,2025-11
Adilabad,19,2025-10-06,37.3,62.8,89.6,2025-10
Adilabad,19,2025-09-06,12.5,40.4,87.2,2025-09
Adilabad,19,2025-06-13,0.0,74.9,96.5,2025-06
Adilabad,19,2025-06-14,0.0,59.8,93.0,2025-06
Adilabad,19,2025-06-15,0.8,64.1,90.7,2025-06
Adilabad,19,2025-06-16,0.0,69.1,84.8,2025-06
Adilabad,19,2025-06-17,6.8,64.9,95.7,2025-06
Adilabad,19,2025-06-18,0.0,55.1,86.3,2025-06
Adilabad,19,2025-06-19,0.0,60.2,100.0,2025-06
Adilabad,19,2025-06-20,2.5,68.8,100.0,2025-06
Adilabad,19,2025-06-21,0.0,71.1,100.0,2025-06
Adilabad,19,2025-06-22,13.0,56.5,96.6,2025-06
Adilabad,19,2025-06-23,0.5,70.4,100.0,2025-06
Adilabad,19,2025-06-24,3.0,68.5,100.0,2025-06
Adilabad,19,2025-06-25,4.0,72.4,94.8,2025-06
Adilabad,19,2025-06-26,19.0,76.7,96.9,2025-06
Adilabad,19,2025-06-27,0.0,84.3,100.0,2025-06
Adilabad,19,2025-06-28,3.3,84.8,100.0,2025-06
Adilabad,19,2025-06-29,0.8,62.3,84.3,2025-06
Adilabad,19,2025-06-30,3.3,77.4,96.3,2025-06
Adilabad,20,2025-04-06,0.0,31.6,84.7,2025-04
